,web-scraper-order,web-scraper-start-url,img,title,date,location,created_in,year
35,1591721298-8604,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Van_Gogh_-_Weizenfeld_mit_Blick_auf_Arles.jpeg/1024px-Van_Gogh_-_Weizenfeld_mit_Blick_auf_Arles.jpeg,Arles: View from the Wheat Fields,June 1888,"Musée Rodin, Paris",Arles,[1888]
36,1591721298-8677,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Van_Gogh_-_S%C3%A4mann_bei_untergehender_Sonne1.jpeg/1024px-Van_Gogh_-_S%C3%A4mann_bei_untergehender_Sonne1.jpeg,The Sower,November 1888,"Foundation E.G. Bührle, Zürich",Arles,[1888]
37,1591721298-8451,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Van_Gogh_-_Stra%C3%9Fenszene_auf_dem_Montmartre.jpeg/1024px-Van_Gogh_-_Stra%C3%9Fenszene_auf_dem_Montmartre.jpeg,Street Scene in Montmartre,1887,Private collection,Paris,[1887]
38,1591721298-8867,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/De_opwekking_van_Lazarus_%28naar_Rembrandt%29_-_s0169V1962_-_Van_Gogh_Museum.jpg/1024px-De_opwekking_van_Lazarus_%28naar_Rembrandt%29_-_s0169V1962_-_Van_Gogh_Museum.jpg,"The Raising of Lazarus, after Rembrandt",May 1890,"Van Gogh Museum, Otterlo",Saint-Rémy,[1890]
39,1591721298-8953,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Vincent_van_Gogh_-_Sheaves_of_Wheat%2C_1890.jpg/1024px-Vincent_van_Gogh_-_Sheaves_of_Wheat%2C_1890.jpg,Sheaves of Wheat,July 1890,Dallas Museum of Art,Auvers-sur-Oise,[1890]
40,1591721298-8253,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Van_Gogh_-_Bauernhaus_mit_umgrabender_B%C3%A4uerin1.jpeg/1024px-Van_Gogh_-_Bauernhaus_mit_umgrabender_B%C3%A4uerin1.jpeg,Cottage with Peasant Woman Digging,June 1885,"Tokyo Fuji Art Museum, Tokyo",Nuenen,[1885]
41,1591721298-9098,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Gogh_-_f_1639.jpg/1024px-Gogh_-_f_1639.jpg,Landscape with Bridge across the Oise,May 1890,"Tate, London",Auvers-sur-Oise,[1890]
42,1591721298-8486,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Square_Saint-Pierre_bij_zonsondergang_-_s0098V1962_-_Van_Gogh_Museum.jpg/1024px-Square_Saint-Pierre_bij_zonsondergang_-_s0098V1962_-_Van_Gogh_Museum.jpg,Lane in Voyer d'Argenson Park at Asnières,1887,"Van Gogh Museum, Amsterdam",Paris,[1887]
43,1591721298-8389,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Vincent_van_Gogh_-_Vaas_met_tuingladiolen_en_Chinese_asters_-_Google_Art_Project.jpg/1024px-Vincent_van_Gogh_-_Vaas_met_tuingladiolen_en_Chinese_asters_-_Google_Art_Project.jpg,Vase with Gladioli,1886,"Van Gogh Museum, Amsterdam",Paris,[1886]
44,1591721298-8111,https://en.wikipedia.org/wiki/List_of_works_by_Vincent_van_Gogh,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Landscape_with_Dunes.jpg/1024px-Landscape_with_Dunes.jpg,Landscape with Dunes,August 1883,Private collection,The Hague,[1883]
